1048
18579	62082
22239	62350
29339	62634
16033	61792
27717	62588
17523	61974
30517	62651
28685	62618
19580	62163
31772	62668
20038	62196
20489	62241
21384	62308
27126	62573
25305	62505
23343	62417
33131	62679
23905	62440
24030	62446
24271	62458
25092	62495
25693	62523
26434	62552
28256	62605
29342	62633
30515	62652
31770	62667
33130	62678
24884	62487
27540	62584
62511	25464
62620	28697
62455	24160
62459	24272
62478	24637
62525	25692
62551	26432
62576	27280
62635	29340
62653	30514
62669	31769
62681	33128
62328	21776
62680	33129
62283	20993
62338	21982
62512	25479
62240	20488
62380	22773
62574	27124
62164	19579
62670	31771
62619	28684
62016	17913
62654	30516
61887	16838
62575	27125
61740	15728
62636	29341
61772	15935
61910	17024
62083	18576
62351	22238
61553	14322
62501	25227
62606	28257
61364	13212
61332	13031
61190	12406
62585	27538
60932	11229
62562	26890
61782	15985
60646	10062
62381	22775
60544	9662
62084	18578
61093	11978
60531	9599
62524	25691
62510	25463
60196	8361
62306	21383
59720	6820
61911	17025
59759	6915
59856	7262
62479	24638
59595	6384
59536	6247
62460	24270
59196	5233
62242	20487
61771	15934
60239	8519
59328	5615
62462	24335
60808	10728
59090	4954
62441	23904
58336	3269
62195	20039
58434	3473
58550	3737
58019	2729
62160	19549
58121	2901
59781	6971
58652	3943
60880	10978
61650	14943
57612	2151
61981	17567
57040	1461
56838	1271
61796	16044
57148	1561
56709	1145
56930	1356
61509	14006
58593	3815
59719	6821
60647	10063
56244	797
61184	12390
55827	516
55816	508
55860	533
60930	11226
59901	7395
55539	347
60530	9597
58337	3272
55693	439
57417	1885
55187	193
60195	8360
55003	122
59197	5234
54907	88
59865	7283
54756	38
59537	6248
55002	119
55512	334
58435	3472
57462	1945
56433	928
59156	5122
54702	28
54545	6
54609	12
54757	36
54932	101
55859	534
56231	785
56673	1119
57599	2125
58082	2825
58552	3735
55467	306
57192	1609
55208	194
37486	54342
27968	47618
20725	42209
35461	52976
44622	58331
39989	55944
30159	49190
25184	45641
22901	43940
18889	40675
32542	50946
17087	39100
45530	58726
14386	36638
41327	56694
35412	52932
27761	47444
22895	43938
18764	40585
46113	58981
13124	35447
15276	37521
47167	59388
11753	34072
43026	57576
10833	33143
47934	59675
24104	44827
31387	50063
12982	35280
16950	39004
48978	60044
9966	32198
45012	58504
38962	55320
50061	60418
9148	31288
10443	32721
14615	36881
51332	60841
8419	30465
47755	59622
20399	41955
41278	56665
26909	46862
52367	61145
7661	29579
53515	61488
7304	29180
49837	60342
9058	31197
43878	57984
6747	28517
54621	61745
36186	53478
52804	61300
6502	28226
22785	43858
55735	61999
8225	30260
11169	33504
56780	62183
6389	28081
48627	59934
16337	38461
54081	61622
6301	27958
42316	57241
7834	29800
30532	49442
57120	62248
9328	31507
12719	35010
56470	62136
7961	29948
53819	61561
23430	44353
37978	54662
8798	30893
55880	62029
45912	58886
51856	60990
55291	61892
10102	32352
17096	39109
12949	35242
54994	61840
11421	33749
30250	49251
44697	58365
50583	60596
54216	61656
12707	35002
14291	36557
53740	61548
43784	57942
49544	60261
17584	39556
15826	37967
53547	61501
23686	44527
40383	56169
35903	53268
31323	50034
17316	39316
52961	61353
48899	60013
19452	41157
52905	61335
23648	44493
52469	61178
21664	42983
49636	60292
45151	58559
40718	56355
36428	53654
32168	50661
27923	47578
23766	44582
26604	46634
52449	61171
50327	60512
43796	57954
41712	56874
37534	54388
31500	50153
29511	48734
48051	59714
39533	55663
33918	51910
46309	59057
35585	53052
52620	52621
52620	61232
54532	54533
54532	4
50596	50597
50596	60600
54638	54636
54638	20
48415	48416
48415	59853
54814	54812
54814	53
46314	46313
46314	59059
55013	55011
55013	130
44236	44237
44236	58153
55313	55312
55313	242
42164	42165
42164	57169
55632	55631
55632	405
40115	40116
40115	56008
56005	56007
56005	639
38131	38132
38131	54776
56418	56419
56418	915
36204	36205
36204	53489
56859	56856
56859	1297
34268	34269
34268	52180
57352	57351
57352	1806
32361	32362
32361	50788
57804	57803
57804	2407
30459	30460
30459	49417
58295	58298
58295	3205
28628	28627
28628	48088
58781	58780
58781	4201
26913	26912
26913	62565
58235	58236
58235	44422
27086	27085
27086	62570
57054	57053
57054	41992
27419	27416
27419	62580
55662	55661
55662	39531
27849	27847
27849	62594
54135	54136
54135	37158
28388	28387
28388	62611
52499	52498
52499	34725
29035	29036
29035	62626
50749	50748
50749	32314
29847	29845
29847	62645
48947	48948
48947	29848
30686	30685
30686	62658
47172	47173
47172	27362
31661	31662
31661	62663
45480	45481
45480	24964
32760	32761
32760	62675
43812	43813
43812	22739
33914	33917
33914	62684
42221	42222
42221	20744
35071	35072
35071	62687
40641	40642
40641	18854
36397	36395
36397	62691
39159	39160
39159	17147
58519	24386
58519	62467
59498	27796
59498	6134
57701	22069
57701	62341
59794	28793
59794	6994
56814	19937
56814	62186
60065	29966
60065	7978
55873	17951
55873	62022
60364	31178
60364	9033
54868	16151
54868	61808
60681	32468
60681	10229
53865	14474
53865	61574
60994	33846
60994	11521
52836	12959
52836	61312
61310	35256
61310	12961
51871	11518
51871	60993
61576	36749
61576	14476
50881	10228
50881	60682
61805	38264
61805	16150
49919	9031
49919	60361
62025	39869
62025	17952
49034	7975
49034	60066
62188	41573
62188	19938
48202	6997
48202	59795
62343	43298
62343	22070
47465	6136
47465	59499
62466	45050
62466	24387
47464	6135
47464	59501
62464	45049
62464	24388
48201	6996
48201	59796
62344	43299
62344	22071
49033	7976
49033	60064
62189	41574
62189	19939
49920	9032
49920	60363
62024	39870
62024	17950
50880	10230
50880	60684
61807	38263
61807	16149
51872	11520
51872	60995
61575	36750
