a,b,d,C11,C22,C33,C12,anisotropy
1.686207,0.103448,0.599394,0.318365,0.271278,0.014917,0.035291,1.173576
1.686207,0.172414,0.610676,0.313874,0.246345,0.027899,0.038169,1.274124
1.686207,0.241379,0.627600,0.299266,0.217915,0.041547,0.041657,1.373312
1.686207,0.310345,0.650166,0.291423,0.190801,0.054091,0.046111,1.527363
1.686207,0.379310,0.678372,0.282274,0.167459,0.064258,0.050914,1.685630
1.686207,0.448276,0.712221,0.272023,0.148536,0.072172,0.055944,1.831361
1.686207,0.517241,0.751710,0.260887,0.133789,0.078347,0.061119,1.949987
1.686207,0.586207,0.796841,0.249097,0.122673,0.083317,0.066356,2.030583
1.686207,0.655172,0.847613,0.236899,0.114607,0.087493,0.071560,2.067054
1.686207,0.724138,0.904027,0.224489,0.109066,0.091135,0.076630,2.058291
1.686207,0.793103,0.966081,0.212082,0.105641,0.094397,0.081467,2.007571
1.686207,0.862069,1.033778,0.199814,0.103993,0.097349,0.085987,1.921419
1.686207,0.931034,1.107115,0.187811,0.103854,0.100017,0.090124,1.808411
1.686207,1.000000,1.186094,0.176140,0.104995,0.102393,0.093831,1.677605
1.731034,-1.000000,1.155378,0.182160,0.100070,0.101733,0.093177,1.820328
1.731034,-0.931034,1.078445,0.193712,0.099047,0.099322,0.089443,1.955754
1.731034,-0.862069,1.007006,0.205563,0.099285,0.096665,0.085319,2.070434
1.731034,-0.793103,0.941063,0.217607,0.100995,0.093764,0.080854,2.154626
1.731034,-0.724138,0.880615,0.229745,0.104455,0.090602,0.076113,2.199466
1.731034,-0.655172,0.825663,0.241808,0.110001,0.087107,0.071175,2.198227
1.731034,-0.586207,0.776206,0.253601,0.118059,0.083125,0.066133,2.148089
1.731034,-0.517241,0.732243,0.264947,0.129182,0.078385,0.061069,2.050953
1.731034,-0.448276,0.693777,0.275584,0.143986,0.072455,0.056059,1.913962
1.731034,-0.379310,0.660805,0.285355,0.163104,0.064764,0.051155,1.749526
1.731034,-0.310345,0.633329,0.294032,0.186849,0.054727,0.046420,1.573630
1.731034,-0.241379,0.611348,0.301410,0.214647,0.042139,0.041949,1.404212
1.731034,-0.172414,0.594862,0.307353,0.244105,0.027870,0.037957,1.259101
1.731034,-0.103448,0.583871,0.319962,0.270100,0.014825,0.035340,1.184606
1.731034,-0.034483,0.578376,0.322238,0.285851,0.006478,0.033681,1.127295
1.731034,0.034483,0.578376,0.322231,0.285848,0.006478,0.033679,1.127281
1.731034,0.103448,0.583871,0.319958,0.270099,0.014825,0.035339,1.184599
1.731034,0.172414,0.594862,0.307348,0.244103,0.027870,0.037956,1.259090
1.731034,0.241379,0.611348,0.301413,0.214646,0.042139,0.041949,1.404235
1.731034,0.310345,0.633329,0.294043,0.186851,0.054728,0.046420,1.573675
1.731034,0.379310,0.660805,0.285354,0.163102,0.064763,0.051156,1.749547
1.731034,0.448276,0.693777,0.275603,0.143991,0.072456,0.056057,1.914033
1.731034,0.517241,0.732243,0.264938,0.129179,0.078384,0.061070,2.050941
1.731034,0.586207,0.776206,0.253599,0.118056,0.083124,0.066133,2.148129
1.731034,0.655172,0.825663,0.241807,0.109999,0.087106,0.071175,2.198259
1.731034,0.724138,0.880615,0.229740,0.104454,0.090601,0.076113,2.199444
1.731034,0.793103,0.941063,0.217609,0.100996,0.093764,0.080855,2.154620
1.731034,0.862069,1.007006,0.205560,0.099283,0.096664,0.085319,2.070440
1.731034,0.931034,1.078445,0.193708,0.099045,0.099321,0.089442,1.955761
1.731034,1.000000,1.155378,0.182158,0.100069,0.101732,0.093177,1.820329
1.775862,-1.000000,1.126214,0.181954,0.092784,0.097950,0.089801,1.961058
1.775862,-0.931034,1.051222,0.199496,0.094472,0.098571,0.088710,2.111706
1.775862,-0.862069,0.981587,0.211181,0.094793,0.095932,0.084611,2.227819
1.775862,-0.793103,0.917308,0.223001,0.096553,0.093091,0.080209,2.309619
1.775862,-0.724138,0.858386,0.234865,0.100035,0.090037,0.075570,2.347833
1.775862,-0.655172,0.804821,0.246596,0.105570,0.086695,0.070770,2.335854
1.775862,-0.586207,0.756612,0.258007,0.113607,0.082914,0.065890,2.271046
1.775862,-0.517241,0.713760,0.268913,0.124714,0.078411,0.061001,2.156238
1.775862,-0.448276,0.676264,0.279101,0.139559,0.072737,0.056155,1.999875
1.775862,-0.379310,0.644125,0.288378,0.158827,0.065278,0.051387,1.815670
1.775862,-0.310345,0.617342,0.296600,0.182940,0.055389,0.046725,1.621295
1.775862,-0.241379,0.595916,0.303537,0.211397,0.042775,0.042246,1.435865
1.775862,-0.172414,0.579846,0.309095,0.241824,0.028254,0.038150,1.278182
1.775862,-0.103448,0.569133,0.321521,0.268925,0.014784,0.035392,1.195577
1.775862,-0.034483,0.563776,0.323662,0.285430,0.006107,0.033619,1.133945
1.775862,0.034483,0.563776,0.323660,0.285429,0.006107,0.033619,1.133941
1.775862,0.103448,0.569133,0.321516,0.268923,0.014784,0.035390,1.195567
1.775862,0.172414,0.579846,0.309090,0.241823,0.028253,0.038150,1.278167
1.775862,0.241379,0.595916,0.303529,0.211396,0.042775,0.042245,1.435830
1.775862,0.310345,0.617342,0.296596,0.182940,0.055389,0.046725,1.621275
1.775862,0.379310,0.644125,0.288395,0.158833,0.065280,0.051385,1.815715
1.775862,0.448276,0.676264,0.279117,0.139564,0.072738,0.056154,1.999930
1.775862,0.517241,0.713760,0.268908,0.124713,0.078411,0.061001,2.156223
1.775862,0.586207,0.756612,0.258013,0.113606,0.082913,0.065890,2.271119
1.775862,0.655172,0.804821,0.246592,0.105569,0.086695,0.070770,2.335840
1.775862,0.724138,0.858386,0.234870,0.100035,0.090037,0.075570,2.347882
1.775862,0.793103,0.917308,0.223004,0.096555,0.093092,0.080209,2.309619
1.775862,0.862069,0.981587,0.211171,0.094788,0.095930,0.084611,2.227811
1.775862,0.931034,1.051222,0.199499,0.094472,0.098571,0.088710,2.111729
1.775862,1.000000,1.126214,0.181958,0.092786,0.097951,0.089802,1.961044
1.820690,-1.000000,1.098485,0.187560,0.088454,0.097197,0.089047,2.120411
1.820690,-0.931034,1.025340,0.205171,0.090119,0.097770,0.087933,2.276674
1.820690,-0.862069,0.957419,0.216678,0.090511,0.095157,0.083866,2.393940
1.820690,-0.793103,0.894723,0.228290,0.092316,0.092386,0.079535,2.472929
1.820690,-0.724138,0.837252,0.239875,0.095801,0.089442,0.075003,2.503897
1.820690,-0.655172,0.785005,0.251276,0.101313,0.086259,0.070344,2.480191
1.820690,-0.586207,0.737983,0.262310,0.109311,0.082682,0.065628,2.399655
1.820690,-0.517241,0.696186,0.272798,0.120385,0.078422,0.060912,2.266049
1.820690,-0.448276,0.659613,0.282539,0.135243,0.073010,0.056233,2.089118
1.820690,-0.379310,0.628265,0.291374,0.154640,0.065798,0.051602,1.884201
1.820690,-0.310345,0.602142,0.299100,0.179071,0.056070,0.047025,1.670282
1.820690,-0.241379,0.581243,0.305609,0.208163,0.043449,0.042543,1.468128
1.820690,-0.172414,0.565569,0.310793,0.239540,0.028686,0.038349,1.297455
1.820690,-0.103448,0.555120,0.323032,0.267750,0.014791,0.035445,1.206469
1.820690,-0.034483,0.549896,0.325050,0.285027,0.005776,0.033559,1.140419
1.820690,0.034483,0.549896,0.325043,0.285024,0.005775,0.033557,1.140404
1.820690,0.103448,0.555120,0.323036,0.267752,0.014791,0.035446,1.206478
1.820690,0.172414,0.565569,0.310782,0.239538,0.028685,0.038348,1.297419
1.820690,0.241379,0.581243,0.305608,0.208162,0.043449,0.042542,1.468123
1.820690,0.310345,0.602142,0.299091,0.179068,0.056069,0.047026,1.670263
1.820690,0.379310,0.628265,0.291385,0.154643,0.065799,0.051600,1.884238
1.820690,0.448276,0.659613,0.282556,0.135248,0.073012,0.056231,2.089172
1.820690,0.517241,0.696186,0.272786,0.120381,0.078420,0.060914,2.266024
1.820690,0.586207,0.737983,0.262312,0.109311,0.082682,0.065628,2.399685
1.820690,0.655172,0.785005,0.251280,0.101313,0.086259,0.070344,2.480236
1.820690,0.724138,0.837252,0.239877,0.095801,0.089442,0.075003,2.503909
1.820690,0.793103,0.894723,0.228293,0.092317,0.092386,0.079535,2.472934
1.820690,0.862069,0.957419,0.216675,0.090510,0.095156,0.083866,2.393930
1.820690,0.931034,1.025340,0.205175,0.090121,0.097771,0.087934,2.276659
1.820690,1.000000,1.098485,0.187563,0.088456,0.097198,0.089048,2.120416
1.865517,-1.000000,1.072089,0.193058,0.084340,0.096391,0.088246,2.289041
1.865517,-0.931034,1.000701,0.210724,0.085977,0.096925,0.087117,2.450929
1.865517,-0.862069,0.934413,0.222061,0.086431,0.094345,0.083089,2.569224
1.865517,-0.793103,0.873223,0.233459,0.088268,0.091648,0.078834,2.644884
1.865517,-0.724138,0.817133,0.244771,0.091746,0.088820,0.074414,2.667908
1.865517,-0.655172,0.766142,0.255851,0.097225,0.085798,0.069896,2.631541
1.865517,-0.586207,0.720250,0.266534,0.105170,0.082427,0.065344,2.534303
1.865517,-0.517241,0.679457,0.276607,0.116193,0.078413,0.060802,2.380593
1.865517,-0.448276,0.643763,0.285929,0.131043,0.073271,0.056290,2.181950
1.865517,-0.379310,0.613168,0.294318,0.150537,0.066316,0.051800,1.955125
1.865517,-0.310345,0.587673,0.301574,0.175258,0.056766,0.047316,1.720747
1.865517,-0.241379,0.567276,0.307642,0.204943,0.044153,0.042841,1.501113
1.865517,-0.172414,0.551979,0.312436,0.237250,0.029160,0.038554,1.316903
1.865517,-0.103448,0.541781,0.324498,0.266576,0.014842,0.035502,1.217283
1.865517,-0.034483,0.536682,0.326390,0.284636,0.005481,0.033497,1.146693
1.865517,0.034483,0.536682,0.326386,0.284635,0.005481,0.033496,1.146684
1.865517,0.103448,0.541781,0.324494,0.266574,0.014842,0.035501,1.217274
1.865517,0.172414,0.551979,0.312428,0.237250,0.029160,0.038553,1.316875
1.865517,0.241379,0.567276,0.307618,0.204938,0.044152,0.042841,1.501030
1.865517,0.310345,0.587673,0.301580,0.175260,0.056766,0.047316,1.720761
1.865517,0.379310,0.613168,0.294323,0.150536,0.066316,0.051800,1.955172
1.865517,0.448276,0.643763,0.285940,0.131046,0.073272,0.056288,2.181990
1.865517,0.517241,0.679457,0.276621,0.116195,0.078414,0.060801,2.380659
1.865517,0.586207,0.720250,0.266535,0.105172,0.082428,0.065343,2.534267
1.865517,0.655172,0.766142,0.255861,0.097226,0.085799,0.069896,2.631601
1.865517,0.724138,0.817133,0.244769,0.091745,0.088819,0.074413,2.667933
1.865517,0.793103,0.873223,0.233457,0.088268,0.091648,0.078834,2.644879
1.865517,0.862069,0.934413,0.222066,0.086433,0.094346,0.083090,2.569226
1.865517,0.931034,1.000701,0.210727,0.085977,0.096925,0.087117,2.450961
1.865517,1.000000,1.072089,0.193058,0.084340,0.096391,0.088246,2.289047
1.910345,-1.000000,1.046931,0.198451,0.080430,0.095539,0.087403,2.467393
1.910345,-0.931034,0.977219,0.216161,0.082033,0.096038,0.086266,2.635048
